run,id,definition,defect_gt_%,defect_cov_mm,defect_HD95_mm,defect_n_pred,defect_prec_mm,defect_F1@0.05
tie_qk_r2,073,6mm,4.6875,4.2645999269841965,6.298344046095393,285,3.836760290140892,0.7995822264605045
tie_qk_r2,073,implant,6.184895833333334,4.1565812930969255,6.13483987657036,290,3.5897439291583244,0.8694183479644746
tie_qk_r2,033,5mm,6.803385416666667,3.678074262436434,5.042932028952362,423,3.2110421253106063,0.9767441860465117
tie_qk_r2,033,6mm,5.387369791666666,3.7263186704899565,4.888850006811293,341,3.7030659813602655,0.9351477397963286
tie_qk_r2,033,implant,6.93359375,3.7154948833464236,4.9815168613292515,343,3.4836667171851943,0.982078853046595
tie_qk_r2,090,5mm,7.877604166666667,3.7651356695636973,6.651887449704967,511,3.1935501150157095,0.9268292682926829
tie_qk_r2,090,6mm,6.103515625,3.7230254091285335,6.568899585965512,398,3.4589078120414083,0.9201393302992551
tie_qk_r2,090,implant,7.486979166666667,3.882842169781243,6.940615880758027,392,3.2821491066809636,0.9189189189189189
tie_qk_r2,004,5mm,5.387369791666666,3.1883896924444,4.934395818790656,415,3.0004691274869644,0.9724998503800347
tie_qk_r2,004,6mm,4.1015625,3.132272198945442,4.86846596060415,293,3.157246593118489,0.9508392858414579
tie_qk_r2,004,implant,5.598958333333334,3.133638015652902,4.888294546006713,335,3.011882209848885,0.9732446389028743
tie_qk_r2,076,5mm,5.989583333333334,2.95968863357354,4.88615620920796,544,2.8336723734195766,0.9848275862068966
tie_qk_r2,076,6mm,3.90625,2.8210522201927115,4.552194796237182,317,2.8409729203024883,0.9853533601899527
tie_qk_r2,076,implant,4.801432291666666,2.8304883612039577,4.460205739331637,325,2.8211751480145866,0.9948892674616696
tie_qk_r2,077,5mm,4.345703125,3.1342543422858813,4.667710468938816,354,2.9290593351015657,0.9630361731567503
tie_qk_r2,077,6mm,3.4993489583333335,3.1757895321369563,4.679743196227895,278,3.099229054472735,0.949868352691505
tie_qk_r2,077,implant,4.947916666666666,3.0804740252452145,4.620858957511319,323,3.0179585559583613,0.9640956323392751
tie_qk_r2,012,5mm,6.868489583333333,3.0863984869536565,4.814778542120812,524,2.8766736666125636,0.9892215568862275
tie_qk_r2,012,6mm,4.817708333333334,3.0195163577089867,4.691456717404584,349,3.055890109223444,0.9920622142860628
tie_qk_r2,012,implant,6.201171875,3.0752946106891943,4.827883784767947,379,2.963286249664372,0.9947229551451187
tie_qk_r2,031,5mm,6.526692708333333,2.787333066082768,4.247276955024886,480,2.6712344318659436,0.9937264742785445
tie_qk_r2,031,6mm,5.436197916666666,2.692326281501089,4.091480799038882,385,2.6620891268308395,0.9946011032358195
tie_qk_r2,031,implant,7.161458333333333,2.6785029152970297,4.105582684418601,456,2.6332939901727066,0.9988623435722412
notext,083,5mm,6.689453125,3.631974690974369,6.285149146361583,556,3.061048084211968,0.9475032010243278
notext,083,6mm,3.6946614583333335,3.290812162326558,5.081707232200451,278,3.2353443454628747,0.9755463693139826
notext,083,implant,4.703776041666666,3.2687480972716765,5.007227152959484,285,3.1130774109114534,0.9859649122807017
notext,053,5mm,6.8359375,6.507612100762558,13.033499116250745,268,3.2410711348873567,0.7683284457478006
notext,053,6mm,4.248046875,7.484110913828627,13.330968550433159,134,3.973771133046453,0.6917293233082707
notext,053,implant,5.501302083333334,7.475656247511323,13.371024921462846,94,3.5805199986287093,0.6771037181996085
notext,070,5mm,6.461588541666667,2.918784599520738,4.485757155843572,481,2.7221081320926985,0.9923857868020305
notext,070,6mm,4.78515625,2.8502570062518418,4.321895447611221,324,2.786134649397373,0.9952109704641351
notext,070,implant,6.119791666666666,2.8619787157309475,4.286799218825574,355,2.7264780781902553,1.0
notext,045,5mm,4.899088541666666,2.8350835855760983,4.107764151235094,305,2.6983047647235607,0.9917349925587474
notext,045,6mm,4.264322916666666,2.8361919444458974,4.161170767273556,264,2.764690933501481,0.9866955808228813
notext,045,implant,6.15234375,2.8119371298060547,4.104552484778565,347,2.69256333575402,0.9888165427272833
notext,044,5mm,7.649739583333333,3.234353248574544,5.251427932138855,618,3.0030163031753654,0.981581798483207
notext,044,6mm,5.289713541666666,3.2244598438170335,5.059043854068194,378,3.227248298047772,0.9773246879802108
notext,044,implant,6.54296875,3.216906234089517,4.911409860733781,387,3.1516298827797598,0.9912170639899623
notext,039,5mm,4.98046875,3.1786228180058713,4.49772494959771,285,3.053719088908113,0.9463740735358234
notext,039,6mm,4.475911458333334,3.1817077756693073,4.463049868529675,272,3.351815328015508,0.8905312879504697
notext,039,implant,6.087239583333334,3.1501228262972725,4.4158769470020545,323,3.0822620287662645,0.9514179896019892
notext,022,5mm,6.201171875,3.8649447281746845,5.466855808735012,377,3.343406473846012,0.9269623194262048
notext,022,6mm,5.17578125,4.024060883548396,5.493197576554759,305,3.9568145331934437,0.8299674267100977
notext,022,implant,6.73828125,3.9223038934263457,5.452154421912206,324,3.6022409624144336,0.928886968212811
notext,080,5mm,7.747395833333333,3.3449101989029018,6.010419992671214,609,2.9597973120524794,0.9640914036996736
notext,080,6mm,4.768880208333334,2.947446015777712,4.715488146170212,353,2.9432756006977474,0.9889180561869705
notext,080,implant,5.891927083333334,2.8701755545362224,4.489196551092735,374,2.82388815934217,0.9986168741355463
notext,010,5mm,7.861328125,3.440687028780547,5.045185404150852,576,3.097989868092478,0.99375
notext,010,6mm,5.517578125,3.5903256142373134,5.047677201421228,374,3.412889203398925,0.9931623795872014
notext,010,implant,6.93359375,3.470881205459546,4.996195403577664,389,3.314902738363319,1.0
notext,000,5mm,5.078125,2.6225589883111478,4.112877816231531,391,2.53972205526551,0.9967845659163987
notext,000,6mm,4.134114583333334,2.656768417247857,3.995349204885432,295,2.658487389287981,0.9965986394557823
notext,000,implant,5.501302083333334,2.6427403496268465,3.9629563615036005,344,2.6435045341990366,1.0
notext,018,5mm,6.998697916666667,3.299019895091223,4.96998805245426,494,3.0189222461981653,0.9917936694021102
notext,018,6mm,5.257161458333334,3.2974517746342697,4.963446601008502,350,3.340210292973957,0.9854049978457561
notext,018,implant,6.656901041666667,3.3147435873774747,4.9482629634419695,342,3.1173586074883026,0.996319018404908
notext,030,5mm,7.503255208333333,2.9186787651198327,4.3931228958549,547,2.7643773407425614,0.9956427015250544
notext,030,6mm,5.908203125,2.893155049072236,4.3598968795137045,376,2.838371933583548,0.9946263687290754
notext,030,implant,7.486979166666667,2.923755134628565,4.347082149889721,438,2.812467739820058,0.9989118607181718
notext,073,5mm,6.022135416666666,3.7671838535940685,5.392824453161363,412,3.213301787098692,0.924876064573535
notext,073,6mm,4.6875,3.959799554891713,5.407572945653515,286,3.6955857422786953,0.8772863640762605
notext,073,implant,6.184895833333334,3.851157190665783,5.385898906002291,312,3.5132199366515815,0.9225935707130498
notext,033,5mm,6.803385416666667,3.5541877025304336,4.845081600075714,465,3.1326018807027234,0.9878934624697336
notext,033,6mm,5.387369791666666,3.637198029372942,4.795871693820165,355,3.5077619287226005,0.9608900966130124
notext,033,implant,6.93359375,3.584797289280892,4.784414910569941,370,3.3700885325899983,0.9952830188679246
notext,090,5mm,7.877604166666667,4.307669231434437,8.118826414510217,464,3.2737859863229724,0.8835063437139561
notext,090,6mm,6.103515625,4.3365348230028085,7.871669137817461,372,3.7504759751737224,0.8604771419470403
notext,090,implant,7.486979166666667,4.450690419384535,8.378585245121917,340,3.4763188185085836,0.8683886838868389
notext,004,5mm,5.387369791666666,2.977341922838576,4.617940458159591,391,2.7907580061149977,0.9815384615384616
