run,id,n_dense,dense_spacing_mm,gt_p2s_max_mm,p2s_abs_median_mm,p2s_abs_p95_mm,p2s_bias_mm,p2s_std_mm,p2s_outside_pct,p2s_defect_abs_median_mm,n_pred_defect,s2p_mean_mm,s2p_hd95_mm,s2p_floor_mean_mm,s2p_floor_hd95_mm,s2p_defect_mean_mm,s2p_defect_hd95_mm,s2p_floor_defect_mean_mm,defect_pct_of_surface,dev_abs_median_mm,dev_abs_p95_mm,dev_bias_mm,dev_std_mm,dev_outside_pct
cd_rep05_full_f3,046,200000,1.129121275692667,7.530073202393687e-06,1.1994675656273788,3.782090443495066,0.1318961990244123,1.9268021132265656,55.77799479166666,1.9220572730507923,347,3.273869419577139,6.069627310307317,2.4186609141711046,4.128303315011762,3.4102453729903943,5.0384756001547055,2.435314886006905,5.715,1.980939306104911,4.9729166001509295,-0.0036972507637003,2.676275891519326,49.96744791666667
cd_rep05_full_f3,068,200000,1.1073340835380692,6.828568984929007e-06,1.0861365125141766,3.34155107504479,-0.5688804613229069,1.6026082797488486,38.54166666666667,1.3118678177189422,341,2.921473401517351,4.754002991696921,2.3559442279431995,3.997843086185215,3.0222980847146967,4.577314126212248,2.354715326227011,5.384,2.265783871472696,5.22529133063156,0.1127674637665067,2.8745692615496834,51.07421875
cd_rep05_full_f4,063,200000,1.1683448368229785,7.329298947545291e-06,1.3716126765865,4.263032819170506,-0.48810484888286104,2.062093444704945,43.701171875,1.466808914002265,299,3.5558287519436145,6.480614864371941,2.5005698462775907,4.248263586385705,3.2999989460445223,5.057204385001384,2.4622062686410717,5.2405,2.357849757599298,6.365092326328787,0.06924644821051745,3.3635693961747943,49.98372395833333
cd_rep05_full_f4,084,200000,1.0952137310712842,7.968517052998884e-06,1.4949172345828532,4.296257925801572,-0.46025900609436504,2.1397081933981976,44.95442708333333,0.7104830453164641,401,3.2258028309319524,5.437099510770645,2.364673390565429,4.037799707567551,2.7662815441482547,4.295366573972866,2.389743050560371,6.837,2.1996566029771247,6.483257530533496,0.010754210087091634,3.3825085041349316,49.70703125
cd_rep05_full_f4,037,200000,0.9653475125825995,6.31397334416306e-06,1.1588468169246982,4.536330509062854,-0.8797400522909212,1.9783960659775457,37.353515625,1.0827895594960122,390,2.7764356564953108,4.6426641010745,2.0842342594311076,3.5541696616406235,2.6822024355514804,4.222454954396551,2.083797296083269,6.2065,2.184894382950306,5.911181237212785,0.06304948711887792,3.1166070531162413,51.057942708333336
cd_rep05_full_f4,029,200000,1.090543624863296,7.786842128679442e-06,1.352892645489056,3.915489837389556,-0.2378525715331025,1.9871474385856391,48.90950520833333,1.5779460400461192,402,3.382155058641637,6.413723441349919,2.369920024165301,4.053052931507434,3.0385420290505682,4.540057597205163,2.3486065350570753,5.8020000000000005,1.9322817518739703,6.157942490144437,-0.02748555897831616,3.034937977423465,49.00716145833333
cd_rep05_full_f4,001,200000,0.9485305696938041,6.7631919145182385e-06,1.0494641688195525,3.0532862568786836,-0.13724155600321233,1.5766239997333913,50.244140625,1.7761881056951045,428,2.598634823822951,4.138699771107512,2.0746729659704917,3.5556816477135764,3.03732157503507,4.465804021415904,2.080716462335029,7.753,1.9085415891062416,4.912158847417396,-0.03161448911594033,2.624644683167211,48.779296875
cd_rep05_full_f4,052,200000,1.0291409879915536,6.928240247762415e-06,1.0273199188147673,3.1772890775259794,-0.2531008360521594,1.6747335795635956,45.458984375,0.7829033194193392,343,2.7728157249969767,4.706666446547092,2.1939166559433394,3.7215356731982046,2.6109703965239848,4.045763307977271,2.223257270973101,5.1855,2.0384061265227933,4.9425625405475255,-0.02135270552300088,2.8399895421951147,49.77213541666667
cd_rep05_full_f4,021,200000,1.038424929529027,6.89181848178459e-06,1.199080502138954,3.7738034084237637,-0.19533988510960643,1.942316141977539,49.91861979166667,2.118998933965697,298,3.0262193431906077,5.46867322372211,2.2121112269629855,3.760105701032772,3.395827029085754,4.934919533085059,2.2332152062249193,5.0889999999999995,1.6954289288345632,4.793631618799277,-0.029111097762897175,2.5078006915981543,50.29296875
cd_rep05_full_f4,002,200000,1.1074603230434572,6.473284648305418e-06,1.1617705598476356,3.1139170301269874,0.42517711398793306,1.5873616546932945,63.346354166666664,1.5337115980353389,349,3.0769152644425617,5.310310269805134,2.4313620510891827,4.1730460594420915,3.109447281730952,4.572790016995669,2.444351734542715,5.9635,1.8417028377652924,4.135063245398259,0.0541525924500856,2.3082015579873394,50.472005208333336
